time_ms,temp1_v,temp2_v,trigger
 14359,161,180,1
 14378,161,181,1
 14397,161,180,1
 14415,161,180,1
 14434,161,179,1
 14453,161,180,1
 14472,161,181,1
 14490,161,180,1
 14509,161,180,0
 14528,161,181,0
 14546,161,180,1
 14565,161,180,1
 14584,161,180,1
 14603,161,180,1
 14621,161,180,1
 14640,161,180,1
 14659,161,181,1
 14677,161,181,1
 14696,161,180,1
 14715,161,180,1
 14734,161,180,1
 14752,161,180,1
 14771,161,177,1
 14790,161,180,1
 14808,161,180,1
 14827,161,180,1
 14846,161,180,1
 14865,161,181,0
 14883,161,180,0
 14902,163,180,1
 14921,161,179,1
 14939,161,180,1
 14958,161,180,1
 14977,161,180,1
 14996,161,181,1
 15014,161,180,1
 15033,161,180,1
 15052,161,181,1
 15071,161,180,1
 15089,160,179,1
 15108,161,180,1
 15127,161,180,1
 15145,161,180,1
 15164,161,180,1
 15183,161,180,1
 15202,161,180,1
 15220,161,181,0
 15240,161,180,1
 15258,161,180,1
 15276,161,180,1
 15295,161,181,1
 15314,161,180,1
 15333,161,180,1
 15351,161,180,1
 15370,161,180,1
 15389,161,180,1
 15407,161,180,1
 15426,161,180,1
 15445,161,180,1
 15464,161,180,1
 15482,161,180,1
 15501,161,180,1
 15520,161,180,1
 15539,161,180,1
 15557,161,180,0
 15576,161,180,0
 15595,161,180,1
 15613,161,181,1
 15632,161,180,1
 15651,161,180,1
 15670,161,181,1
 15688,161,180,1
 15707,160,180,1
 15726,161,181,1
 15744,161,180,1
 15763,161,179,1
 15782,161,181,1
 15801,161,180,1
 15819,161,181,1
 15839,161,181,1
 15857,161,180,1
 15875,161,181,1
 15894,161,181,1
 15913,161,181,0
 15932,161,181,0
 15950,161,181,1
 15969,161,181,1
 15988,161,180,1
 16006,161,180,1
 16025,161,181,1
 16044,161,181,1
 16063,161,180,1
 16081,161,180,1
 16100,161,180,1
 16119,161,180,1
 16138,161,180,1
 16156,161,181,1
 16175,161,180,1
 16194,161,181,1
 16212,161,180,1
 16231,161,180,1
 16250,161,181,1
 16269,161,179,0
 16287,161,181,0
 16307,161,181,1
 16325,161,181,1
 16343,161,180,1
 16362,161,181,1
 16381,161,181,1
 16400,161,180,1
 16418,161,179,1
 16438,161,180,1
 16456,161,181,1
 16474,161,180,1
 16493,161,180,1
 16512,160,180,1
 16531,161,181,1
 16549,161,180,1
 16568,161,179,1
 16587,161,180,1
 16606,161,180,1
 16624,161,181,0
 16643,161,181,1
 16662,161,180,1
 16680,161,180,1
 16699,161,180,1
 16718,161,181,1
 16737,161,180,1
 16755,161,181,1
 16774,161,181,1
 16793,161,179,1
 16811,161,180,1
 16830,161,180,1
 16849,161,181,1
 16868,161,180,1
 16886,161,178,1
 16906,161,181,1
 16924,161,181,1
 16942,161,181,1
 16961,161,181,0
 16980,161,181,0
 16999,161,180,1
 17017,161,181,1
 17037,161,180,1
 17055,161,180,1
 17073,161,181,1
 17092,161,181,1
 17111,161,180,1
 17130,161,181,1
 17148,161,180,1
 17167,161,180,1
 17186,161,180,1
 17205,161,180,1
 17223,161,180,1
 17242,161,180,1
 17261,161,181,1
 17279,161,181,1
 17298,161,181,1
 17317,161,181,0
 17336,161,181,0
 17354,161,181,1
 17374,161,181,1
 17392,161,180,1
 17410,161,181,1
 17429,161,181,1
 17448,161,181,1
 17467,160,181,1
 17485,161,179,1
 17505,160,181,1
 17523,161,181,1
 17541,161,181,1
 17560,161,180,1
 17579,161,180,1
 17598,161,181,1
 17616,161,181,1
 17636,161,181,1
 17654,160,181,0
 17673,162,181,0
 17691,161,181,1
 17710,161,180,1
 17729,161,180,1
 17747,161,180,1
 17766,161,181,1
 17785,161,181,1
 17804,161,181,1
 17822,161,176,1
 17841,161,181,1
 17860,161,181,1
 17878,161,181,1
 17897,161,181,1
 17916,161,182,1
 17935,161,181,1
 17953,161,180,1
 17973,161,180,1
 17991,161,181,1
 18009,161,181,0
 18028,161,180,0
 18047,161,181,1
 18066,161,178,1
 18084,161,181,1
 18104,161,181,1
 18122,161,180,1
 18140,161,181,1
 18159,161,179,1
 18178,161,181,1
 18197,161,181,1
 18215,161,178,1
 18235,161,181,1
 18253,160,181,1
 18272,160,180,1
 18290,161,181,1
 18309,161,181,1
 18328,161,181,1
 18346,161,181,0
 18365,161,181,0
 18384,160,181,1
 18403,161,181,1
 18421,161,181,1
 18441,161,180,1
 18459,161,181,1
 18477,160,180,1
 18496,161,180,1
 18515,161,181,1
 18534,161,181,1
 18552,161,181,1
 18572,161,181,1
 18590,161,181,1
 18608,161,181,1
